region,dki-fa_retest_cov
V1_L,1.6995843562954889
MST_L,2.05036592079134
V6_L,2.472991969532017
V2_L,1.352651700639114
V3_L,1.0415863458795092
V4_L,1.2650705360174384
V8_L,1.9019359207635063
4_L,1.246057387294759
3b_L,2.8471103697213374
FEF_L,1.7799741507867057
PEF_L,2.16933893681564
55b_L,1.8702887162227868
V3A_L,1.6027840703705036
RSC_L,2.0819860870810927
POS2_L,1.2416122333830686
V7_L,2.6931979807401247
IPS1_L,1.8110178419780742
FFC_L,1.6396177578993805
V3B_L,1.9496253720459367
LO1_L,2.0034157352055395
LO2_L,2.2809769434022447
PIT_L,1.7422414920445919
MT_L,2.0934422004116096
A1_L,2.2758750615144714
PSL_L,2.1924458998996204
SFL_L,1.394523633018619
PCV_L,1.7721867418025457
STV_L,1.753615241041149
7Pm_L,1.9756296900298338
7m_L,1.8536073517850966
POS1_L,1.7428931673930885
23d_L,2.35492107050774
v23ab_L,2.046091690641082
d23ab_L,2.1614190609084023
31pv_L,2.367766486069024
5m_L,2.3617823774759206
5mv_L,2.8828477460948503
23c_L,2.1926917325592687
5L_L,2.6442274773222483
24dd_L,2.3146149334649335
24dv_L,2.15539878043582
7AL_L,1.9782534611634008
SCEF_L,2.1229533650063805
6ma_L,2.003403558022556
7Am_L,1.6445738005934014
7Pl_L,1.8994131187912302
7PC_L,1.6121098574204702
LIPv_L,2.3330505974877056
VIP_L,1.8321150019036756
MIP_L,1.9845055842107926
1_L,1.799447201238016
2_L,1.9150489210312878
3a_L,2.2500503867117154
6d_L,1.8851981818774348
6mp_L,1.6643718772887446
6v_L,1.6369668863036302
p24pr_L,2.134008619432702
33pr_L,2.9170584872150194
a24pr_L,2.9481215509214005
p32pr_L,2.6934833468738493
a24_L,1.4621989374712248
d32_L,1.8573169955881215
8BM_L,1.5960709345678785
p32_L,1.972730813283392
10r_L,2.258457670973828
47m_L,1.8020870307075845
8Av_L,1.8262569371426556
8Ad_L,1.8838927000632073
9m_L,1.515287904441632
8BL_L,1.5129321347847307
9p_L,1.6748083776679235
10d_L,1.438390424539096
8C_L,1.7023269644280008
44_L,1.472670469928201
45_L,1.5570920938537958
47l_L,1.723277039462494
a47r_L,1.5139194897824109
6r_L,1.31710681083741
IFJa_L,1.8012090783453254
IFJp_L,1.5982600691411861
IFSp_L,2.0589703742829175
IFSa_L,1.6360204245908636
p9-46v_L,1.4766165109826095
46_L,1.6873174972823775
a9-46v_L,1.7397009091725812
9-46d_L,1.3737595686429946
9a_L,1.6106031876505007
10v_L,2.5509001822034114
a10p_L,1.8037287793272023
10pp_L,1.7638698867124312
11l_L,2.0504482840544282
13l_L,1.9765270539436774
OFC_L,2.968017931495296
47s_L,1.8665242941641673
LIPd_L,2.4396061283266643
6a_L,2.0740082393793675
i6-8_L,2.6914284747501234
s6-8_L,2.2693495916480964
43_L,1.4311117889358616
OP4_L,1.469370225764648
OP1_L,1.637439777889357
OP2-3_L,1.6936758766815916
52_L,2.3541974255995872
RI_L,2.210025072462687
PFcm_L,1.7851642018360543
PoI2_L,1.6741236657470557
TA2_L,2.3237194826247585
FOP4_L,1.5742025501699515
MI_L,1.809396488395541
Pir_L,2.0588584949401674
AVI_L,1.8963451743395647
AAIC_L,1.7272019485921843
FOP1_L,1.6919531127903418
FOP3_L,2.374720420199263
FOP2_L,1.9288056139992693
PFt_L,1.6737704140326326
AIP_L,1.5214438955508367
EC_L,2.2812981775021903
PreS_L,2.052853621391499
H_L,2.0871735683446047
ProS_L,2.016189784205017
PeEc_L,1.8541090683034407
STGa_L,1.6004681220140395
PBelt_L,1.5942589831707612
A5_L,1.5351115136302123
PHA1_L,2.054432185204148
PHA3_L,1.9417686459010461
STSda_L,1.798845797189036
STSdp_L,1.4277774957893412
STSvp_L,1.3917796654773127
TGd_L,1.3916849499030972
TE1a_L,1.7015652966481083
TE1p_L,1.2178959279363863
TE2a_L,1.5330164622929967
TF_L,1.6363160900711424
TE2p_L,1.7722700320493674
PHT_L,1.5839462097730153
PH_L,1.8699305886206476
TPOJ1_L,1.89847688680524
TPOJ2_L,2.153000128409787
TPOJ3_L,2.0223144872006715
DVT_L,2.5331957849281923
PGp_L,1.2680644192139925
IP2_L,2.27561864874471
IP1_L,2.176499949306741
IP0_L,2.7566624267364412
PFop_L,1.7526836137994166
PF_L,1.4884281719433703
PFm_L,1.5004067019063856
PGi_L,1.3635390584582707
PGs_L,1.2531202675493875
V6A_L,2.0832375218432366
VMV1_L,2.1149878040258208
VMV3_L,2.709583130284146
PHA2_L,2.7397908172009036
V4t_L,2.0799915380837555
FST_L,1.7146074949296013
V3CD_L,1.7825508837674375
LO3_L,2.4321998936292015
VMV2_L,2.7099499899578867
31pd_L,2.129160369971121
31a_L,2.1582850712462816
VVC_L,1.7931088487784301
25_L,1.9048954023634337
s32_L,3.077243097884564
pOFC_L,3.1047831978299305
PoI1_L,1.9983186211165844
Ig_L,1.8218274942585673
FOP5_L,1.784569398622902
p10p_L,1.9812033276068675
p47r_L,1.8304389556301335
TGv_L,1.6551807571655308
MBelt_L,1.580815017197151
LBelt_L,1.8581586740042182
A4_L,1.7610996058239454
STSva_L,1.5531078817975557
TE1m_L,1.4371920834244396
PI_L,2.2692319857795265
a32pr_L,2.052707500364439
p24_L,1.842134499387461
V1_R,1.3270130831374798
MST_R,2.2159434637071445
V6_R,2.4058326577876503
V2_R,1.1038207735635799
V3_R,1.0877249992957412
V4_R,1.3315081873993848
V8_R,1.6491480784606556
4_R,1.1788618106891924
3b_R,2.613344692044749
FEF_R,1.592319815404188
PEF_R,2.2040940647139964
55b_R,1.7060657699162516
V3A_R,1.4921460235990396
RSC_R,1.9671929816979759
POS2_R,1.6441616303807263
V7_R,2.590708131104031
IPS1_R,2.6178708416255745
FFC_R,1.4021350740895313
V3B_R,2.244360888365214
LO1_R,2.01047279000932
LO2_R,2.006118876579915
PIT_R,1.4109404878193095
MT_R,2.8599167047774037
A1_R,1.9964700893198346
PSL_R,1.5815321608099089
SFL_R,1.820678170621014
PCV_R,1.6100743017315393
STV_R,1.571435987477796
7Pm_R,1.9127430908454777
7m_R,1.4444156098226264
POS1_R,1.401253310703596
23d_R,2.5239232822336
v23ab_R,1.6085401842074791
d23ab_R,2.5955310867169255
31pv_R,2.214491459901829
5m_R,2.4777891903058373
5mv_R,2.074692594883156
23c_R,2.0974299777123084
5L_R,2.1417234115772814
24dd_R,1.8557605825828776
24dv_R,1.8657513778272448
7AL_R,2.2142070024135316
SCEF_R,1.9221642974720614
6ma_R,1.905588481900712
7Am_R,1.6296985332818295
7Pl_R,1.9519191470208002
7PC_R,2.2463982930776045
LIPv_R,2.5136970853572933
VIP_R,2.202216468123935
MIP_R,1.8508216159457538
1_R,1.9333273371159605
2_R,2.403837142829727
3a_R,2.369212364307639
6d_R,1.6831998721507608
6mp_R,1.9549306163906477
6v_R,1.5030752343529024
p24pr_R,2.003813148532367
33pr_R,2.3234911840648067
a24pr_R,1.9025669395936171
p32pr_R,1.5009694856395366
a24_R,1.7765658636098505
d32_R,1.3583279384327847
8BM_R,1.4749253353876046
p32_R,2.0418415723586922
10r_R,2.399447159927702
47m_R,1.9316094319688653
8Av_R,1.7064082164668026
8Ad_R,2.310984009812777
9m_R,1.3632351679536743
8BL_R,1.389601217292823
9p_R,2.0866513742470025
10d_R,1.4573003867085796
8C_R,1.2786193611769465
44_R,1.4783915234460416
45_R,1.8225320750931757
47l_R,1.4148616128433802
a47r_R,1.4874988632883013
6r_R,1.6047423636795966
IFJa_R,1.9723547495175069
IFJp_R,1.749798999059744
IFSp_R,2.0173060874752036
IFSa_R,1.7918642883528437
p9-46v_R,1.6892691840104488
46_R,1.2206353422468506
a9-46v_R,2.2502955236461775
9-46d_R,1.8724922832417148
9a_R,1.5570511249066725
10v_R,1.8416002242290432
a10p_R,1.8872858394058527
10pp_R,2.263592566986544
11l_R,2.0812658475635715
13l_R,1.8586646997889151
OFC_R,2.666580278988565
47s_R,1.6716174764017908
LIPd_R,2.4648658801317604
6a_R,1.7519776339380928
i6-8_R,1.735787033729369
s6-8_R,2.440945381439247
43_R,1.4696514029472596
OP4_R,1.0611774080085021
OP1_R,2.101050576764974
OP2-3_R,2.350739395464701
52_R,2.0050733351843024
RI_R,2.0742317598054854
PFcm_R,1.8746250208841697
PoI2_R,1.975098567077428
TA2_R,2.145470730059715
FOP4_R,1.5131409433724718
MI_R,1.583324492400394
Pir_R,2.3822619046413047
AVI_R,2.0406265953498948
AAIC_R,1.2237476833821528
FOP1_R,1.3567355534268366
FOP3_R,2.5114297125984115
FOP2_R,1.8318414416675501
PFt_R,1.3152464674617663
AIP_R,2.2903933346870766
EC_R,1.8766901518781507
PreS_R,1.8923316312529324
H_R,1.4449263304334665
ProS_R,1.8434535960794602
PeEc_R,1.809984798987737
STGa_R,2.0742167263691025
PBelt_R,2.3446503532685306
A5_R,1.327558740884977
PHA1_R,1.699027023460939
PHA3_R,2.5030604950504616
STSda_R,1.818493329091482
STSdp_R,1.9409338561275007
STSvp_R,1.5268416257233715
TGd_R,1.8212979209070903
TE1a_R,1.889779273611043
TE1p_R,1.331621083869494
TE2a_R,1.7132233940592458
TF_R,1.606240435871735
TE2p_R,1.871887510647614
PHT_R,1.741066785631594
PH_R,1.816083153214137
TPOJ1_R,1.3551841815162395
TPOJ2_R,1.9564822710974896
TPOJ3_R,1.7310694761582277
DVT_R,1.7322983652410184
PGp_R,0.830750599092816
IP2_R,2.1774954058717264
IP1_R,1.7194874550045303
IP0_R,1.7233217631223403
PFop_R,1.7828407322604929
PF_R,1.3098060159204106
PFm_R,1.3005414207077768
PGi_R,1.2497449661637243
PGs_R,1.0923525982294033
V6A_R,2.3424417876743964
VMV1_R,2.498456032560506
VMV3_R,2.7523233773151836
PHA2_R,3.028270804412645
V4t_R,2.063012774669841
FST_R,1.7059504454740093
V3CD_R,1.642401363909482
LO3_R,1.4456111721749456
VMV2_R,2.7510496765437225
31pd_R,1.8850957261210086
31a_R,1.9475845553190028
VVC_R,1.5699298240621335
25_R,1.676775247227922
s32_R,3.6625211392207597
pOFC_R,2.368767584743826
PoI1_R,2.6643502756105977
Ig_R,2.183053973704058
FOP5_R,1.76448516674026
p10p_R,2.2018649270224304
p47r_R,2.0422753188680773
TGv_R,2.208859621216975
MBelt_R,1.4442926588563743
LBelt_R,2.1130838825526825
A4_R,1.6625248988917503
STSva_R,1.6498724951238835
TE1m_R,1.7325889565913428
PI_R,2.0561534400163533
a32pr_R,1.6257831902593878
p24_R,1.8808088010374886
